subnum,group,session,tod,block,trial,targ,foil,studytime,rt,order,resp,corr
222,A,3,3,3,21,0011101000110100000110011,0011101000010100000110111,1006,1076,1,<lshift>,1
222,A,3,3,3,22,0100111011010100010110110,0100011011010101010110110,1005,1267,0,<rshift>,1
222,A,3,3,3,23,0110010111001100000100101,0110010111001100100000101,1006,1445,0,<rshift>,1
222,A,3,3,3,24,1111010000000001101010101,1111010100000001101010001,1006,1045,1,<lshift>,1
222,A,3,3,3,25,0110011001110001010101011,0110111001110001000101011,1004,973,1,<lshift>,1
222,A,3,3,3,26,1010101101101100010100011,1010101110101100010100011,1006,1243,1,<rshift>,0
222,A,3,3,3,27,1110001100011100101100101,1111001100011100101100001,1006,1069,1,<lshift>,1
222,A,3,3,3,28,0010100111011011011000001,0010100111011110011000001,1006,1021,1,<lshift>,1
222,A,3,3,3,29,1111110000010100000101100,1111110010000100000101100,1006,900,0,<rshift>,1
222,A,3,3,3,30,1100010111001101110001010,1100010111101100110001010,1005,1683,0,<rshift>,1
222,A,3,3,3,31,1010100111011011100100001,0010110111011011100100001,1005,2350,1,<lshift>,1
222,A,3,3,3,32,1001011110110100101011000,1001011110111000101011000,1005,1931,0,<rshift>,1
222,A,3,3,3,33,0011011000110011011010101,0111011000110010011010101,1004,1404,0,<rshift>,1
222,A,3,3,3,34,1010001100011000001110110,1010001100011000101110100,1006,1285,0,<rshift>,1
222,A,3,3,3,35,1111000100000100001111110,1111000100001100001111010,1005,1461,1,<rshift>,0
222,A,4,4,5,1,0110001011000110100011101,0110001011010110100001101,1005,1391,0,<rshift>,1
222,A,4,4,5,2,0101001111100000011101101,0101001111010000011101101,1005,1035,1,<rshift>,0
222,A,4,4,5,3,1100100011001011000010111,1100000011001011001010111,1005,1309,0,<rshift>,1
222,A,4,4,5,4,1000001000110011110100101,1001001000110011110100100,1006,901,1,<lshift>,1
222,A,4,4,5,5,1110001111000000100011001,1100001111000000100011011,1006,972,0,<lshift>,0
222,A,4,4,5,6,0001011101010101111000110,0001011101010101110100110,1005,730,1,<rshift>,0
222,A,4,4,5,7,0000001111100111010011101,0000001111100111110010101,1005,908,1,<lshift>,1
222,A,4,4,5,8,0111100101101000011011001,0111100101100100011011001,1006,883,1,<lshift>,1
222,A,4,4,5,9,0100011101101001101010010,0100011111001001101010010,1006,1950,1,<lshift>,1
222,A,4,4,5,10,1101010110000100101001001,1101010100000100101011001,1006,1244,0,<rshift>,1
222,A,4,4,5,11,1000011011111010100011010,1000011011101010100011110,1005,1380,1,<lshift>,1
222,A,4,4,5,12,1110000001101010010100110,1110000001101010011100010,1006,1084,1,<rshift>,0
222,A,4,4,5,13,1100000111111000000110111,1000000111111000001110111,1004,820,0,<lshift>,0
222,A,4,4,5,14,0011011111010100010100100,0011011101010110010100100,1006,1501,1,<lshift>,1
222,A,4,4,5,15,1100110101010101100100000,1100110001010101100100100,1006,1316,1,<lshift>,1
222,A,4,4,5,16,0100001101110010100010111,0000001101110110100010111,1005,1014,0,<rshift>,1
222,A,4,4,5,17,1110111010001001001100110,1110111010011001001000110,1005,1069,1,<lshift>,1
222,A,4,4,5,18,0011000111011110000100110,0011000111011110001100100,1005,1172,0,<rshift>,1
222,A,4,4,5,19,0011111110001101011100000,0011101110001101011100100,1005,1236,0,<lshift>,0
222,A,4,4,5,20,1000100001101111110100101,1000100001001111110110101,1006,1043,0,<rshift>,1
222,A,4,4,5,21,0000101110011110100100100,0000101110011010100101100,1005,725,1,<rshift>,0
222,A,4,4,5,22,0001011010010010000111101,0001011010010011000111100,1006,1030,0,<lshift>,0
222,A,4,4,5,23,1000001100100011001101111,1000001000100011101101111,1006,1092,1,<rshift>,0
222,A,4,4,5,24,0111110011001001001111000,0111110011001001001011001,1005,1092,0,<rshift>,1
222,A,4,4,5,25,0000001111001001101101010,0000001101001101101101010,1006,1445,1,<rshift>,0
222,A,4,4,5,26,1110100000110110110100110,0110100000110110110101110,1005,1011,1,<lshift>,1
222,A,4,4,5,27,1010000101010000110100111,1000000101110000110100111,1006,1693,1,<lshift>,1
222,A,4,4,5,28,0110000100011100011000111,0110000110011100011000110,1006,1549,0,<rshift>,1
222,A,4,4,5,29,0001101100110110000011101,0001101100110010100011101,1006,996,0,<rshift>,1
222,A,4,4,5,30,1110011110000110001011010,1110011110000110001001110,1005,1084,0,<rshift>,1
222,A,4,4,5,31,0110101111011010000001100,1110101110011010000001100,1006,1389,0,<rshift>,1
222,A,4,4,5,32,0100000110110011011001101,0100000110111011011000101,1005,1646,1,<lshift>,1
222,A,4,4,5,33,1100000011001111110000110,1100100011001111110000010,1006,1045,0,<rshift>,1
222,A,4,4,5,34,1110010100111001101100010,1110010100111011101000010,1005,1332,1,<lshift>,1
222,A,4,4,5,35,0011111001010001000110101,0010111001010001000110111,1006,797,1,<lshift>,1
222,A,5,1,4,1,1011110101000001010000110,1011110001000001011000110,1006,1039,1,<lshift>,1
222,A,5,1,4,2,1100011100000010011010011,1100001100000011011010011,1006,923,0,<rshift>,1
222,A,5,1,4,3,0100101001011001011000101,0110101001011001011000100,1006,836,0,<rshift>,1
222,A,5,1,4,4,0010001101110001010111010,1010001101110001010110010,1004,1374,1,<rshift>,0
222,A,5,1,4,5,1100101110011010010100100,1100101110010010110100100,1005,1092,1,<lshift>,1
222,A,5,1,4,6,0101101101101000010001010,0001101101101000010001110,1006,965,1,<lshift>,1
222,A,5,1,4,7,0010011010011101100000110,0010011000011101100000111,1005,893,0,<rshift>,1
222,A,5,1,4,8,1100100000010101000111110,0110100000010101000111110,1006,2078,0,<rshift>,1
222,A,5,1,4,9,0010011011001101110011100,0010110011001101110011100,1005,1028,0,<rshift>,1
222,A,5,1,4,10,0001010111001100100011100,0001010111001100100111000,1006,909,0,<rshift>,1
222,A,5,1,4,11,0010110010101010101001100,0011110010001010101001100,1006,2022,1,<lshift>,1
222,A,5,1,4,12,0110001010111011010000001,0110000010111011010000101,1006,908,0,<rshift>,1
222,A,5,1,4,13,1101100001101110000011001,1101100001100111000011001,1006,917,1,<lshift>,1
222,A,5,1,4,14,0011000110110110001110000,0011000111110100001110000,1006,903,0,<rshift>,1
222,A,5,1,4,15,0100100000111011101000110,0100100000101011101001110,1006,733,0,<rshift>,1
222,A,5,1,4,16,1101101111001011000010001,1101101111000011001010001,1005,959,0,<rshift>,1
222,A,5,1,4,17,1100101011101001100100000,0101101011101001100100000,1006,1117,1,<lshift>,1
222,A,5,1,4,18,1011110000101010100110101,1011110000101011000110101,1005,1516,1,<lshift>,1
222,A,5,1,4,19,1001011010011100101110100,1101011010011100101110000,1006,1036,1,<lshift>,1
222,A,5,1,4,20,0010101011110100100010110,0010101011110000100110110,1006,1461,0,<rshift>,1
222,A,5,1,4,21,1110010010000001101111101,1110010010000011101110101,1005,1609,1,<lshift>,1
222,A,5,1,4,22,0100110000110011010111101,0100110000110111010101101,1006,965,0,<lshift>,0
