subnum,trial,baseImage,stimCode,type,probeCond,probe,x,y,probeFile,clickResp,corr,time1,time2,responsetime,size,Centrality
103,23,i264,20,ABSENT,2,1,-264,103,Stimuli/Probes/i264-1.png,0,1,291232,292010,778,155,283
103,24,i9,3,PRESENT,4,3,248,74,Stimuli/Probes/i9-3.png,1,1,296440,297187,747,80,259
103,25,i294,103,PRESENT,5,3,310,152,Stimuli/Probes/i294-3.png,1,1,302919,304098,1179,259,345
103,26,i9,20,PRESENT,4,2,30,45,Stimuli/Probes/i9-2.png,1,1,308415,309218,803,104,54
103,27,i294,20,ABSENT,2,3,310,152,Stimuli/Probes/i294-3.png,0,1,314663,316273,1610,259,345
103,28,i264,0,ABSENT,1,2,26,141,Stimuli/Probes/i264-2.png,0,1,321199,321810,611,172,143
103,29,i294,3,ABSENT,2,2,-237,-211,Stimuli/Probes/i294-2.png,0,1,326983,327730,747,237,317
103,30,i294,3,ABSENT,2,1,-239,260,Stimuli/Probes/i294-1.png,0,1,335774,336985,1211,238,353
103,31,i294,120,PRESENT,5,2,-237,-211,Stimuli/Probes/i294-2.png,1,1,342375,343514,1139,237,317
103,32,i9,103,PRESENT,5,1,-234,30,Stimuli/Probes/i9-1.png,1,1,347278,348249,971,92,236
103,33,i294,0,ABSENT,1,1,-239,260,Stimuli/Probes/i294-1.png,0,1,354742,355513,771,238,353
103,34,i9,100,ABSENT,2,3,248,74,Stimuli/Probes/i9-3.png,0,1,358294,359337,1043,80,259
103,35,i294,0,ABSENT,1,3,310,152,Stimuli/Probes/i294-3.png,0,1,365446,366112,666,259,345
103,36,i264,100,ABSENT,2,2,26,141,Stimuli/Probes/i264-2.png,0,1,368766,369361,595,172,143
103,37,i9,23,PRESENT,5,2,30,45,Stimuli/Probes/i9-2.png,1,1,371999,373001,1002,104,54
103,38,i264,103,PRESENT,5,1,-264,103,Stimuli/Probes/i264-1.png,1,1,377253,378080,827,155,283
103,39,i264,3,PRESENT,4,3,389,-8,Stimuli/Probes/i264-3.png,1,1,381846,382672,826,161,389
103,40,i264,120,ABSENT,3,3,389,-8,Stimuli/Probes/i264-3.png,0,1,385494,386360,866,161,389
103,41,i264,0,ABSENT,1,1,-264,103,Stimuli/Probes/i264-1.png,0,1,388790,389272,482,155,283
103,42,i294,103,PRESENT,5,1,-239,260,Stimuli/Probes/i294-1.png,1,1,392933,393880,947,238,353
103,43,i294,23,ABSENT,3,1,-239,260,Stimuli/Probes/i294-1.png,0,1,396430,397256,826,238,353
103,44,i9,20,ABSENT,2,1,-234,30,Stimuli/Probes/i9-1.png,0,1,399677,400288,611,92,236
103,45,i264,103,ABSENT,3,2,26,141,Stimuli/Probes/i264-2.png,0,1,402685,403256,571,172,143
104,1,i294,120,PRESENT,5,1,-239,260,Stimuli/Probes/i294-1.png,1,1,128801,140659,11858,238,353
104,2,i264,120,ABSENT,3,3,389,-8,Stimuli/Probes/i264-3.png,1,0,155888,158402,2514,161,389
104,3,i9,23,ABSENT,3,1,-234,30,Stimuli/Probes/i9-1.png,1,0,163544,165619,2075,92,236
104,4,i264,120,PRESENT,5,2,26,141,Stimuli/Probes/i264-2.png,1,1,169128,170339,1211,172,143
104,5,i264,3,ABSENT,2,2,26,141,Stimuli/Probes/i264-2.png,1,0,173207,175434,2227,172,143
104,6,i264,103,ABSENT,3,2,26,141,Stimuli/Probes/i264-2.png,0,1,178303,179546,1243,172,143
104,7,i9,0,ABSENT,1,1,-234,30,Stimuli/Probes/i9-1.png,0,1,185192,187657,2465,92,236
104,8,i264,0,ABSENT,1,2,26,141,Stimuli/Probes/i264-2.png,0,1,191839,192970,1131,172,143
104,9,i294,3,PRESENT,4,3,310,152,Stimuli/Probes/i294-3.png,1,1,199112,200666,1554,259,345
104,10,i294,100,PRESENT,4,1,-239,260,Stimuli/Probes/i294-1.png,1,1,204678,206001,1323,238,353
104,11,i9,100,PRESENT,4,1,-234,30,Stimuli/Probes/i9-1.png,1,1,210079,212641,2562,92,236
104,12,i264,120,PRESENT,5,1,-264,103,Stimuli/Probes/i264-1.png,1,1,215943,217376,1433,155,283
104,13,i9,3,PRESENT,4,3,248,74,Stimuli/Probes/i9-3.png,1,1,220678,221809,1131,80,259
104,14,i9,3,ABSENT,2,2,30,45,Stimuli/Probes/i9-2.png,0,1,224823,225881,1058,104,54
104,15,i9,3,ABSENT,2,1,-234,30,Stimuli/Probes/i9-1.png,0,1,229310,231145,1835,92,236
104,16,i294,0,ABSENT,1,3,310,152,Stimuli/Probes/i294-3.png,0,1,235821,238400,2579,259,345
104,17,i294,103,PRESENT,5,3,310,152,Stimuli/Probes/i294-3.png,1,1,242718,244240,1522,259,345
104,18,i264,100,PRESENT,4,1,-264,103,Stimuli/Probes/i264-1.png,1,1,247798,249009,1211,155,283
104,19,i294,20,ABSENT,2,1,-239,260,Stimuli/Probes/i294-1.png,0,1,252053,253888,1835,238,353
104,20,i264,100,ABSENT,2,3,389,-8,Stimuli/Probes/i264-3.png,0,1,257325,259824,2499,161,389
104,21,i9,120,ABSENT,3,3,248,74,Stimuli/Probes/i9-3.png,0,1,262757,264432,1675,80,259
104,22,i294,100,ABSENT,2,3,310,152,Stimuli/Probes/i294-3.png,0,1,267876,269871,1995,259,345
104,23,i294,23,ABSENT,3,1,-239,260,Stimuli/Probes/i294-1.png,1,0,273269,275464,2195,238,353
104,24,i294,0,ABSENT,1,1,-239,260,Stimuli/Probes/i294-1.png,0,1,278677,280152,1475,238,353
104,25,i9,103,ABSENT,3,2,30,45,Stimuli/Probes/i9-2.png,1,0,284284,285607,1323,104,54
104,26,i294,120,ABSENT,3,3,310,152,Stimuli/Probes/i294-3.png,0,1,288860,290967,2107,259,345
104,27,i264,20,PRESENT,4,2,26,141,Stimuli/Probes/i264-2.png,1,1,293868,295055,1187,172,143
104,28,i9,0,ABSENT,1,2,30,45,Stimuli/Probes/i9-2.png,0,1,297828,298774,946,104,54
104,29,i9,0,ABSENT,1,3,248,74,Stimuli/Probes/i9-3.png,0,1,301676,303151,1475,80,259
104,30,i264,20,ABSENT,2,1,-264,103,Stimuli/Probes/i264-1.png,0,1,306852,308103,1251,155,283
